Rank,Building,City,Height_m,Height_ft,Floors,DateComplete,Material,Use
1788.0,Songdo C entral Park Prugio Tower I,Incheon,175.0,574.0,46.0,2015.0,,residential
1788.0,"Songdo C entral Park Prugio Tower
II",Incheon,175.0,574.0,46.0,2015.0,,residential
1788.0,"Songdo C entral Park Prugio Tower
III",Incheon,175.0,574.0,46.0,2015.0,,residential
1792.0,Robinsons Equitable Tower,Pasig,175.0,574.0,45.0,1997.0,concrete,office
1793.0,Media One Tower,Dubai,175.0,574.0,43.0,2008.0,concrete,office / hotel
1793.0,The C oncourse,Singapore,175.0,574.0,43.0,1995.0,,residential / office
1795.0,R&F C enter,C hengdu,175.0,574.0,42.0,2008.0,,hotel / office
1796.0,Enterprise Square 3,Hong Kong,175.0,574.0,41.0,2004.0,concrete,office
1796.0,Wanyin International 1,Hangzhou,175.0,574.0,41.0,2010.0,composite,office
1798.0,"Harumi Island Triton Square Tower
Y",Tokyo,175.0,574.0,40.0,2000.0,steel,office
1798.0,Menara Data'Onn,Kuala Lumpur,175.0,574.0,40.0,1985.0,,office
1798.0,Westin Guangzhou Hotel,Guangzhou,175.0,574.0,40.0,2007.0,,hotel
1801.0,C rowne Plaza,Qingdao,175.0,574.0,38.0,1998.0,,hotel
1801.0,Wanda East Port Tower 2,Dalian,175.0,574.0,38.0,2012.0,concrete,hotel
1803.0,AcroTower 1,Anyang,175.0,574.0,37.0,2007.0,,office
1803.0,AcroTower 2,Anyang,175.0,574.0,37.0,2007.0,,office
1803.0,Edificio C oltejer,Medellin,175.0,574.0,37.0,1972.0,concrete,office
1806.0,New York Marriott Marquis Hotel,New York C ity,175.0,574.0,56.0,1985.0,steel,hotel
1807.0,Wells Fargo C enter,Seattle,175.0,574.0,47.0,1983.0,steel,office
1808.0,299 Park Avenue,New York C ity,175.0,574.0,42.0,1967.0,steel,office
1809.0,Tavistock II,Hong Kong,174.9,574.0,46.0,1999.0,concrete,residential
1810.0,The Fordham,C hicago,174.8,574.0,52.0,2003.0,concrete,residential
1811.0,190 South LaSalle,C hicago,174.6,573.0,40.0,1987.0,steel,office
1811.0,C hevron Tower,San Francisco,174.6,573.0,40.0,1975.0,steel,office
1813.0,The # C entral Park II 203,Incheon,174.6,573.0,52.0,2011.0,concrete,residential
1814.0,Reflections at Keppel Bay Tower 1A,Singapore,174.5,573.0,41.0,2011.0,concrete,residential
1814.0,Reflections at Keppel Bay Tower 2B,Singapore,174.5,573.0,41.0,2011.0,concrete,residential
1814.0,Reflections at Keppel Bay Tower 3B,Singapore,174.5,573.0,41.0,2011.0,concrete,residential
1817.0,Ocean Shores Tower 1-3,Hong Kong,174.4,572.0,58.0,2001.0,concrete,residential
1817.0,Ocean Shores Tower 15,Hong Kong,174.4,572.0,58.0,2003.0,concrete,residential
1817.0,Ocean Shores Tower 16-17,Hong Kong,174.4,572.0,58.0,2003.0,concrete,residential
1817.0,Ocean Shores Tower 5,Hong Kong,174.4,572.0,58.0,2001.0,concrete,residential
1817.0,Ocean Shores Tower 6,Hong Kong,174.4,572.0,58.0,2001.0,concrete,residential
1817.0,Ocean Shores Tower 7,Hong Kong,174.4,572.0,58.0,2002.0,concrete,residential
1817.0,Ocean Shores Tower 8,Hong Kong,174.4,572.0,58.0,2002.0,concrete,residential
1817.0,Ocean Shores Tower 9-10,Hong Kong,174.4,572.0,58.0,2002.0,concrete,residential
1825.0,KKR2 Tower,Kuala Lumpur,174.4,572.0,37.0,2014.0,concrete,office
1826.0,Grand Front Osaka Owners Tower,Osaka,174.4,572.0,48.0,2013.0,,residential
1827.0,C ommerce Square #1,Philadelphia,174.4,572.0,41.0,1987.0,,office
1827.0,C ommerce Square #2,Philadelphia,174.4,572.0,41.0,1992.0,,office
1829.0,One Roxas Triangle,Makati,174.3,572.0,51.0,2000.0,concrete,residential
1830.0,Sathorn House,Bangkok,174.2,572.0,50.0,1999.0,,residential
1831.0,C entury Plaza Tower I,Los Angeles,174.0,571.0,44.0,1975.0,,office
1831.0,C entury Plaza Tower II,Los Angeles,174.0,571.0,44.0,1975.0,,office
1833.0,1290 Avenue of the Americas,New York C ity,174.0,571.0,43.0,1963.0,steel,office
1834.0,Robinsons Summit C enter,Makati,174.0,571.0,38.0,2000.0,concrete,office
1835.0,Boramae C hereville,Seoul,174.0,571.0,49.0,2002.0,,residential
1836.0,Financial Park,Panama C ity,174.0,571.0,46.0,2015.0,concrete,office
1837.0,6 Battery Road,Singapore,174.0,571.0,44.0,1983.0,,office
1837.0,C entral Plaza One,Brisbane,174.0,571.0,44.0,1988.0,concrete,office
1839.0,Paragon Plaza,Mandaluyong,174.0,571.0,43.0,1998.0,,residential / office
1840.0,Liu C hong Hing Finance C enter,Shanghai,174.0,571.0,41.0,2006.0,,office
1841.0,Dusit Residence,Dubai,174.0,571.0,35.0,2008.0,concrete,residential
1842.0,The International Bank Plaza,Xiamen,174.0,571.0,32.0,2002.0,concrete,office
1843.0,One South Dearborn,C hicago,173.9,571.0,39.0,2005.0,composite,office
1844.0,Metro Plaza Tower I,Hong Kong,173.9,571.0,47.0,1992.0,concrete,office
1845.0,Onterie C enter,C hicago,173.7,570.0,58.0,1986.0,concrete,residential / office
1846.0,780 3rd Avenue,New York C ity,173.7,570.0,49.0,1983.0,concrete,office
1847.0,Four Embarcadero C enter,San Francisco,173.7,570.0,45.0,1984.0,steel,office
1848.0,600 3rd Avenue,New York C ity,173.7,570.0,42.0,1971.0,steel,office
1849.0,C oncourse C orporate C enter V,Sandy Springs,173.7,570.0,34.0,1988.0,,office
1850.0,One Embarcadero C enter,San Francisco,173.4,569.0,45.0,1970.0,steel,office
1851.0,Dream Tower,Dubai,173.4,569.0,43.0,2015.0,concrete,residential
1852.0,Success Tower 2,Toronto,173.3,569.0,55.0,2010.0,concrete,residential
1853.0,Tokyo Shiodome Building,Tokyo,173.2,568.0,37.0,2005.0,steel,hotel / office
1854.0,C hina Resources Building,Shenyang,173.2,568.0,33.0,2011.0,,office
1855.0,450 Lexington Avenue,New York C ity,173.1,568.0,38.0,1991.0,steel,office
1855.0,Jamieson Place,C algary,173.1,568.0,38.0,2009.0,concrete,office
1857.0,R&F Profit Plaza,Guangzhou,173.1,568.0,42.0,2006.0,concrete,office
1858.0,MY80,Melbourne,173.0,568.0,55.0,2014.0,concrete,residential
1859.0,Shen Fang Plaza,Shenzhen,173.0,568.0,53.0,1996.0,,office
1859.0,Shimao Riviera Garden 1,Shanghai,173.0,568.0,53.0,2000.0,concrete,residential
1861.0,Sharp Star C ity Tower C,Seoul,173.0,568.0,50.0,2006.0,,residential
1862.0,Royal Bank Plaza South,Toronto,173.0,568.0,41.0,1976.0,,office
1863.0,Solae Elevator Testing Facility,Inazawa,173.0,568.0,40.0,2007.0,concrete,industrial
1863.0,Umeda Sky Building,Osaka,173.0,568.0,40.0,1993.0,,office
1865.0,JR Tower,Sapporo,173.0,568.0,38.0,2003.0,,hotel / office
1866.0,Siroco Tower,Mexico C ity,173.0,568.0,36.0,2015.0,concrete,retail / residential
1867.0,Enterprise Square 5 / MegaBOX,Hong Kong,173.0,568.0,35.0,2007.0,,office / retail
1868.0,"National Bank of Abu Dhabi
Headquarters",Abu Dhabi,173.0,568.0,33.0,2002.0,,office
1869.0,C astlereagh C entre,Sydney,173.0,568.0,31.0,1989.0,concrete,office
1870.0,Residence Antilia,Mumbai,173.0,568.0,27.0,2010.0,composite,residential
1871.0,The Hansar,Bangkok,172.9,567.0,43.0,2011.0,concrete,hotel / residential
1872.0,Burnett Plaza,Fort Worth,172.9,567.0,40.0,1983.0,,office
1873.0,Ponte Tower,Johannesburg,172.8,567.0,54.0,1975.0,concrete,residential
1874.0,Paramount Tower,New York C ity,172.8,567.0,51.0,1998.0,concrete,residential
1875.0,Lotte Hotel Busan,Busan,172.8,567.0,41.0,1997.0,,hotel
1876.0,Torre C avia,Buenos Aires,172.8,567.0,44.0,2009.0,concrete,residential
1877.0,Queen's Garden,Hong Kong,172.7,567.0,34.0,1992.0,concrete,residential
1878.0,Ak-Asya Shopping C enter & Tower,Istanbul,172.6,566.0,55.0,2014.0,concrete,"residential / office /
retail"
1879.0,Shiodome Media Tower,Tokyo,172.6,566.0,34.0,2003.0,steel,hotel / office
1880.0,Park Axis Aoyama 1-chome Tower,Tokyo,172.4,566.0,46.0,2007.0,concrete,residential
1881.0,World Trade C enter,Mexico C ity,172.3,565.0,50.0,1972.0,,office
1882.0,44 Montgomery,San Francisco,172.3,565.0,43.0,1967.0,steel,office
1883.0,The One,Hong Kong,172.1,565.0,24.0,2010.0,steel/concrete,retail
1884.0,C reek Tower,Abu Dhabi,172.0,564.0,50.0,2014.0,concrete,residential
1884.0,Greenland Plaza Apartment Block 1,Dalian,172.0,564.0,50.0,2014.0,concrete,residential
1884.0,Greenland Plaza Apartment Block 2,Dalian,172.0,564.0,50.0,2014.0,concrete,residential
1884.0,Greenland Plaza Apartment Block 3,Dalian,172.0,564.0,50.0,2014.0,concrete,residential
1888.0,Almoayyed Towers,Manama,172.0,564.0,49.0,2003.0,composite,office
1889.0,Torre Mirage,Panama C ity,172.0,564.0,48.0,1997.0,concrete,residential
1890.0,"Peregrine Tower, Lippo C entre",Hong Kong,172.0,564.0,44.0,1988.0,,office
1891.0,C hurchill Executive,Dubai,172.0,564.0,43.0,2010.0,concrete,office
1892.0,Dongguan Guangying Tower,Dongguan,172.0,564.0,42.0,2011.0,concrete,
1892.0,Dorset House/PC C W Tower,Hong Kong,172.0,564.0,42.0,1994.0,,office
1892.0,Spear Tower,San Francisco,172.0,564.0,42.0,1976.0,steel,office
1895.0,Enterprise C enter Tower I,Makati,172.0,564.0,40.0,2001.0,concrete,office
1895.0,Escape Tower,Dubai,172.0,564.0,40.0,2006.0,concrete,residential
1895.0,Tianfu Times Tower 1,C hengdu,172.0,564.0,40.0,2010.0,,office
1895.0,Tianfu Times Tower 8,C hengdu,172.0,564.0,40.0,2010.0,,office
1899.0,"Huizhou Wheat and World Trade
C enter",Huizhou,172.0,564.0,39.0,2005.0,,office
1899.0,LIU East,Monterrey,172.0,564.0,39.0,2013.0,concrete,residential
1901.0,Royal Park Shiodome Tower,Tokyo,172.0,564.0,38.0,2003.0,,hotel / office
1901.0,Vasant Grandeur,Mumbai,172.0,564.0,38.0,2010.0,concrete,residential
1903.0,Four Seasons Hotel,Shanghai,172.0,564.0,37.0,2002.0,,hotel
1904.0,111 Huntington Avenue,Boston,172.0,564.0,36.0,2002.0,steel,office
1905.0,The Tower at PNC Plaza,Pittsburgh,172.0,564.0,33.0,2015.0,composite,office
1906.0,Woqod Tower,Doha,172.0,564.0,32.0,2012.0,concrete,office
1907.0,Samsung Hub,Singapore,172.0,564.0,30.0,2005.0,,office
1908.0,Torre Renoir 2,Buenos Aires,171.8,564.0,51.0,2012.0,concrete,residential
1909.0,"Kementerian Pembangunan Wanita, Keluarga Dan…",Putrajaya,171.8,564.0,39.0,2011.0,concrete,hotel / office
1910.0,Queen's Tower A,Yokohama,171.8,564.0,36.0,1995.0,,office
1911.0,Twin Oaks Place West Tower,Mandaluyong,171.6,563.0,51.0,2014.0,concrete,residential
1912.0,Shimao Wulihe C ity 10#,Shenyang,171.6,563.0,56.0,2014.0,concrete,residential
1912.0,Shimao Wulihe C ity 7#,Shenyang,171.6,563.0,56.0,2014.0,concrete,residential
1914.0,New York Palace Hotel,New York C ity,171.6,563.0,51.0,1981.0,,hotel
1914.0,Vianni C ove 1,Hong Kong,171.6,563.0,51.0,2003.0,concrete,residential
1916.0,Torre Aura Altitude,Zapopan,171.6,563.0,44.0,2008.0,concrete,residential
1917.0,Galleria Foret Tower 1,Seoul,171.5,563.0,45.0,2011.0,concrete/steel,residential
1917.0,Galleria Foret Tower 2,Seoul,171.5,563.0,45.0,2011.0,concrete/steel,residential
1919.0,Nordstar Tower,Moscow,171.5,563.0,42.0,2009.0,concrete,office
1920.0,Ocean Shores Tower 11-13,Hong Kong,171.4,562.0,57.0,2003.0,concrete,residential
1921.0,Marina C ity I,C hicago,171.4,562.0,61.0,1964.0,concrete,residential
1921.0,Marina C ity II,C hicago,171.4,562.0,61.0,1964.0,concrete,residential
1923.0,Maple Leaf Square South Tower,Toronto,171.3,562.0,50.0,2010.0,concrete,residential
1924.0,Kluczynski Federal Building,C hicago,171.3,562.0,42.0,1974.0,steel,office
1925.0,Marathon Oil Tower,Houston,171.3,562.0,41.0,1983.0,,office
1926.0,C ity Towers Toyosu North Tower,Tokyo,171.2,562.0,50.0,2009.0,,residential
1927.0,Zhongxin Finance Tower,Weihai,171.2,562.0,42.0,1998.0,,office
1928.0,Laguna Tower,Makati,171.0,561.0,48.0,2008.0,concrete,residential
1928.0,Manila Tower,Makati,171.0,561.0,48.0,2010.0,concrete,residential
1930.0,JBR Area C Tower C 09 T02,Dubai,171.0,561.0,52.0,2007.0,concrete,residential
1931.0,Metro Harbourview 1,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 10,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 2,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 3,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 4,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 5,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 6,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 7,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 8,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1931.0,Metro Harbourview 9,Hong Kong,171.0,561.0,50.0,2003.0,concrete,residential
1941.0,C iudadela San Martin Torre Norte,Bogota,171.0,561.0,47.0,1983.0,,hotel
1942.0,C PF Building,Singapore,171.0,561.0,45.0,1976.0,concrete,office
1942.0,Menara PNB,Kuala Lumpur,171.0,561.0,45.0,1985.0,,office
1944.0,Guo-Yan Building BC,Kaohsiung,171.0,561.0,41.0,2013.0,steel,residential
1945.0,US Bank Plaza I,Minneapolis,171.0,561.0,40.0,1981.0,concrete,office
1946.0,C ity C entre,Dhaka,171.0,561.0,37.0,2012.0,concrete,office
1946.0,Leonardo C ity Tower,Ramat Gan,171.0,561.0,37.0,2000.0,concrete,residential / hotel
1948.0,623 Fifth Avenue,New York C ity,171.0,561.0,36.0,1990.0,,office
1948.0,D2 Tower,C ourbevoie,171.0,561.0,36.0,2014.0,composite,office
1948.0,Park Avenue Tower,New York C ity,171.0,561.0,36.0,1986.0,,office
1951.0,Dar Al Awadi,Kuwait C ity,171.0,561.0,35.0,2005.0,,office
1952.0,275 George Street,Brisbane,171.0,561.0,32.0,2009.0,concrete,office
1953.0,Huron Plaza,C hicago,170.7,560.0,56.0,1983.0,concrete,residential
1954.0,Tower at C ityplace,Dallas,170.7,560.0,42.0,1989.0,,office
1955.0,Boeing International Headquarters,C hicago,170.7,560.0,36.0,1990.0,steel,office
1956.0,Museum Tower,Dallas,170.7,560.0,42.0,2013.0,concrete,residential
1957.0,Eton Shenyang C enter #11,Shenyang,170.6,560.0,50.0,2015.0,composite,residential
1958.0,Xiwang Tower,Dalian,170.6,560.0,40.0,1999.0,,office
1959.0,Poly C enter,Guangzhou,170.5,559.0,36.0,2009.0,,office
1960.0,Seomyeon C entral Star C,Busan,170.4,559.0,48.0,2011.0,concrete,residential
1960.0,Seomyeon C entral Star D,Busan,170.4,559.0,48.0,2011.0,concrete,residential
1962.0,L'Hotel Nina Tower,Hong Kong,170.4,559.0,42.0,2006.0,concrete,hotel
1963.0,Blue Diamond Tower,Miami Beach,170.4,559.0,44.0,2000.0,concrete,residential
1963.0,Green Diamond Tower,Miami Beach,170.4,559.0,44.0,2000.0,concrete,residential
1965.0,Sisli Plaza,Istanbul,170.1,558.0,46.0,2007.0,concrete,residential
1966.0,C ity Tower Osaka,Osaka,170.1,558.0,50.0,2003.0,,residential
1967.0,Torre El Faro I,Buenos Aires,170.1,558.0,46.0,2003.0,concrete,residential
1967.0,Torre El Faro II,Buenos Aires,170.1,558.0,46.0,2005.0,concrete,residential
1969.0,RC BC Plaza Tower 2,Makati,170.0,558.0,41.0,2001.0,concrete,office
1970.0,Dupont Tower,Panama C ity,170.0,558.0,53.0,2010.0,concrete,residential
1971.0,Palácio W. Zarzur,Sao Paulo,170.0,558.0,51.0,1967.0,concrete,retail / office
1971.0,South Park Tower,New York C ity,170.0,558.0,51.0,1986.0,concrete,residential
1973.0,"C heongna Lotte C astle Premium
Town Tower 1",Incheon,170.0,558.0,50.0,2013.0,concrete,residential
1973.0,Kumgang Exllu Tower 102,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Kumgang Exllu Tower 103,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Kumgang Exllu Tower 105,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Kumgang Exllu Tower 106,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Kumgang Exllu Tower 107,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Kumgang Exllu Tower 108,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Kumgang Exllu Tower 110,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Kumgang Exllu Tower 111,Daejeon,170.0,558.0,50.0,2012.0,concrete,residential
1973.0,Oberoi Exquisite Tower 1,Mumbai,170.0,558.0,50.0,2014.0,concrete,residential
1973.0,Oberoi Exquisite Tower 2,Mumbai,170.0,558.0,50.0,2014.0,concrete,residential
1973.0,Oberoi Exquisite Tower 3,Mumbai,170.0,558.0,50.0,2014.0,concrete,residential
1985.0,Tour Odeon,Monaco,170.0,558.0,49.0,2015.0,concrete,residential / office
1986.0,C hina Resources C enter Yuefu #10,Shenyang,170.0,558.0,48.0,2013.0,concrete,residential
1986.0,C hina Resources C enter Yuefu #6,Shenyang,170.0,558.0,48.0,2013.0,concrete,residential
1986.0,C hina Resources C enter Yuefu #8,Shenyang,170.0,558.0,48.0,2013.0,concrete,residential
1986.0,Meriton Tower,Sydney,170.0,558.0,48.0,2006.0,concrete,residential
1986.0,Shibaura Island Air Tower,Tokyo,170.0,558.0,48.0,2007.0,,residential
1991.0,Mikage Tower Residence,Kobe,170.0,558.0,47.0,2010.0,concrete,residential
1991.0,Yanggakdo Hotel,Pyongyang,170.0,558.0,47.0,1995.0,,hotel
1993.0,Australia Square Tower,Sydney,170.0,558.0,46.0,1967.0,concrete,office
1993.0,Grand Bay C lub,C artagena,170.0,558.0,46.0,2011.0,concrete,residential
1993.0,Single Business Tower,Dubai,170.0,558.0,46.0,2009.0,concrete,office
1993.0,Tianli Plaza Tower A,Wuhan,170.0,558.0,46.0,2008.0,,office
1997.0,C hief Fine Building,Nanjing,170.0,558.0,45.0,1999.0,,
1997.0,Haeundae Iaan Exordium 101,Busan,170.0,558.0,45.0,2009.0,concrete,residential
1997.0,World Trade Plaza,Shenzhen,170.0,558.0,45.0,2000.0,,
2000.0,Al Jaber Tower,Al Fujayrah,170.0,558.0,43.0,2008.0,concrete,residential / office
2000.0,Aoti Wanda Plaza Tower A,Shenyang,170.0,558.0,43.0,2013.0,,office
2000.0,Aoti Wanda Plaza Tower B,Shenyang,170.0,558.0,43.0,2013.0,,office
2000.0,Aoti Wanda Plaza Tower C,Shenyang,170.0,558.0,43.0,2013.0,,office
2000.0,Levent 199,Istanbul,170.0,558.0,43.0,2014.0,composite,office
2000.0,Southland Garden,C hongqing,170.0,558.0,43.0,2005.0,concrete,residential / retail
2006.0,Shandong Agricultural Bank,Jinan,170.0,558.0,42.0,1999.0,,office
2007.0,Shanghai Grand C enter,Shanghai,170.0,558.0,41.0,2011.0,concrete,office
2007.0,Xihuwenhua Square,Hangzhou,170.0,558.0,41.0,2005.0,,residential / hotel
2009.0,Burlington Tower,Dubai,170.0,558.0,40.0,2013.0,concrete,office
2009.0,Majestower Beomil 101,Busan,170.0,558.0,40.0,2009.0,concrete,residential
2009.0,Majestower Beomil 102,Busan,170.0,558.0,40.0,2009.0,concrete,residential
2009.0,Metro Grand Residences,C hatswood,170.0,558.0,40.0,2014.0,concrete,residential / retail
2009.0,TaunusTurm,Frankfurt am Main,170.0,558.0,40.0,2013.0,concrete,office
2014.0,Harbin Exhibition C enter Hotel,Harbin,170.0,558.0,38.0,2004.0,,hotel
2014.0,Huaqiang Plaza,Shijiazhuang,170.0,558.0,38.0,2014.0,,multiple
2014.0,Mode Gakuen Spiral Towers,Nagoya,170.0,558.0,38.0,2008.0,steel,education
2014.0,Ozdilek Plaza Tower A,Istanbul,170.0,558.0,38.0,2014.0,concrete,hotel / office
2014.0,"Shenzhen C ommerical Bank
Building",Shanghai,170.0,558.0,38.0,2010.0,composite,office
2014.0,Vero C entre,Auckland,170.0,558.0,38.0,2000.0,concrete,office
2020.0,King’s Road Tower,Jeddah,170.0,558.0,37.0,2010.0,concrete,office
2020.0,Torre Punta Reforma,Mexico C ity,170.0,558.0,37.0,2015.0,,office
2022.0,Iris Bay,Dubai,170.0,558.0,36.0,2015.0,steel/concrete,office
2022.0,Menara Public Bank,Kuala Lumpur,170.0,558.0,36.0,1994.0,,office
2024.0,Marunouchi Park Building,Tokyo,170.0,558.0,35.0,2009.0,,office
2025.0,Shenzhen Kerry C entre I,Shenzhen,170.0,558.0,32.0,1997.0,concrete,office / retail
2026.0,Kansai Electric Power Kobe Building,Kobe,170.0,558.0,18.0,2000.0,composite,office
2027.0,Hui Sheng Xingzheng Apartments,C hengdu,170.0,558.0,-,2010.0,,residential
2028.0,Opernturm,Frankfurt am Main,170.0,558.0,42.0,2009.0,concrete,office
2029.0,Seomyeon C entral Star E,Busan,169.9,557.0,47.0,2011.0,concrete,residential
2030.0,"Thomas Eagleton Federal
C ourthouse",St. Louis,169.8,557.0,29.0,2000.0,,government
2031.0,Peace C ity Modern D1,Dalian,169.8,557.0,55.0,2005.0,,residential
2032.0,Alameda Jardins Residence,Balneario C amboriu,169.8,557.0,45.0,2015.0,concrete,residential
2033.0,Sichuan Aerospace Tower,C hengdu,169.8,557.0,42.0,2008.0,,office
2034.0,Jiangsheng Tower,Shenzhen,169.8,557.0,39.0,2008.0,,office
2035.0,100 United Nations Plaza,New York C ity,169.8,557.0,52.0,1986.0,concrete,residential
2036.0,Langham Place Hotel,Hong Kong,169.8,557.0,42.0,2004.0,concrete,hotel
2037.0,C ontinental C an Building,New York C ity,169.8,557.0,39.0,1962.0,steel,office
2038.0,Asia-Pacific Financial Plaza,Kaohsiung,169.8,557.0,42.0,1992.0,steel,office
2039.0,JT Building,Tokyo,169.7,557.0,35.0,1995.0,,office
2040.0,Hullmark C entre I,Toronto,169.6,557.0,45.0,2015.0,concrete,residential / office
2041.0,Albany C ove 6,Hong Kong,169.5,556.0,54.0,2004.0,concrete,residential
2041.0,Albany C ove 7,Hong Kong,169.5,556.0,54.0,2004.0,concrete,residential
2041.0,Albany C ove 8,Hong Kong,169.5,556.0,54.0,2004.0,concrete,residential
2041.0,C aribbean C oast 10,Hong Kong,169.5,556.0,54.0,2005.0,concrete,residential
2041.0,C aribbean C oast 11,Hong Kong,169.5,556.0,54.0,2005.0,concrete,residential
2041.0,C aribbean C oast 12,Hong Kong,169.5,556.0,54.0,2005.0,concrete,residential
2041.0,C aribbean C oast 13,Hong Kong,169.5,556.0,54.0,2005.0,concrete,residential
2041.0,C aribbean C oast 15,Hong Kong,169.5,556.0,54.0,2005.0,concrete,residential
2041.0,C aribbean C oast 9,Hong Kong,169.5,556.0,54.0,2005.0,concrete,residential
2041.0,Monterey C ove 2,Hong Kong,169.5,556.0,54.0,2003.0,concrete,residential
2041.0,Monterey C ove 3,Hong Kong,169.5,556.0,54.0,2003.0,concrete,residential
2041.0,Monterey C ove 5,Hong Kong,169.5,556.0,54.0,2003.0,concrete,residential
2053.0,"The Parkhouse Harumi Towers
Krono Residence",Tokyo,169.5,556.0,49.0,2014.0,steel,residential
2054.0,W Guangzhou,Guangzhou,169.5,556.0,42.0,2013.0,concrete,residential / hotel
2055.0,Oscar by the Sea Tower 8,Hong Kong,169.5,556.0,57.0,2002.0,concrete,residential
2056.0,The Parkshore,C hicago,169.5,556.0,56.0,1991.0,concrete,residential
2057.0,North Harbor Tower,C hicago,169.5,556.0,55.0,1988.0,concrete,residential
2057.0,VDARA,Las Vegas,169.5,556.0,55.0,2009.0,concrete,hotel
2059.0,State of Georgia Building,Atlanta,169.5,556.0,44.0,1967.0,steel,office
2060.0,3 Park Avenue,New York C ity,169.5,556.0,42.0,1975.0,,office
2061.0,Bella Mare,Panama C ity,169.4,556.0,45.0,2008.0,concrete,residential
2062.0,C ity Heights T1,C hongqing,169.3,555.0,47.0,2011.0,concrete,residential
2063.0,Airport Hotel,Xiamen,169.3,555.0,45.0,2011.0,,hotel
2064.0,Reuters Building,New York C ity,169.2,555.0,30.0,2001.0,steel,office
2065.0,330 Madison Avenue,New York C ity,169.2,555.0,41.0,1964.0,steel,office
2066.0,Paramount at Edgewater Square,Miami,169.1,555.0,47.0,2009.0,concrete,residential
2067.0,Beetham Tower,Manchester,169.1,555.0,50.0,2006.0,concrete,residential / hotel
2068.0,Harbor Point,C hicago,169.0,554.0,54.0,1975.0,concrete,residential
2069.0,Nanjing Shimao Riviera New C ity 1,Nanjing,169.0,554.0,53.0,2006.0,concrete,residential
2070.0,Bay C ity Harumi Sky Link Tower,Tokyo,169.0,554.0,49.0,2009.0,composite,residential
2071.0,Tower 111,New York C ity,169.0,554.0,48.0,2011.0,concrete,residential
2072.0,Summit Terrace 3,Hong Kong,169.0,554.0,47.0,2003.0,concrete,residential
2072.0,Summit Terrace 5,Hong Kong,169.0,554.0,47.0,2003.0,concrete,residential
2074.0,Azrieli C enter Triangular Tower,Tel Aviv,169.0,554.0,46.0,1999.0,concrete,office
2075.0,385 Bourke Street,Melbourne,169.0,554.0,43.0,1983.0,,office
2076.0,C ontinental C enter,New York C ity,169.0,554.0,41.0,1983.0,,office
2077.0,Tongwei International C enter,C hengdu,169.0,554.0,40.0,2013.0,,office
2078.0,Shanghai C entral Square,Shanghai,169.0,554.0,38.0,1998.0,concrete,office
2079.0,Menara Kadin Indonesia,Jakarta,169.0,554.0,37.0,1997.0,composite,office
2079.0,Square One,C hengdu,169.0,554.0,37.0,2011.0,,office / retail
2081.0,"Kristal Kule Finansbank
Headquarters",Istanbul,169.0,554.0,32.0,2014.0,concrete,office
2082.0,Electra Tower,Tel Aviv,168.9,554.0,45.0,2011.0,concrete,office
2083.0,50 Biscayne,Miami,168.9,554.0,55.0,2007.0,concrete,residential / hotel
2084.0,Marriott Marquis Hotel,Atlanta,168.9,554.0,52.0,1985.0,concrete,hotel
2085.0,Quantum on the Bay South Tower,Miami,168.9,554.0,51.0,2008.0,concrete,residential / office
2086.0,The Belvedere,New York C ity,168.9,554.0,48.0,1999.0,concrete,residential
2087.0,Shimao Riviera Garden 2,Shanghai,168.9,554.0,52.0,2002.0,concrete,residential
2087.0,Shimao Riviera Garden 3,Shanghai,168.9,554.0,52.0,2002.0,concrete,residential
2087.0,Shimao Riviera Garden 5,Shanghai,168.9,554.0,52.0,2002.0,concrete,residential
2090.0,Shibaura Island Grove Tower,Tokyo,168.8,554.0,49.0,2007.0,,office
2091.0,"Shell Tower, Times Square",Hong Kong,168.8,554.0,39.0,1993.0,concrete,office / retail
2092.0,AZIA C enter,Shanghai,168.8,554.0,32.0,2005.0,,office
2093.0,Streeter Place,C hicago,168.8,554.0,55.0,2009.0,concrete,residential
2094.0,Newberry Plaza,C hicago,168.6,553.0,53.0,1974.0,concrete,residential
